Frequency (Hz),Strain Energy (J)
100.0,100.41236114501953
101.14959716796875,100.4145278930664
102.31241607666016,100.41673278808594
103.48860168457031,100.41899871826172
104.67830657958984,100.42131805419922
105.8816909790039,100.4236831665039
107.09890747070312,100.42610931396484
108.33011627197266,100.4285888671875
109.57547760009766,100.43112182617188
110.83515930175781,100.43372344970703
112.10931396484375,100.4363784790039
113.39812469482422,100.43909454345703
114.70175170898438,100.44187927246094
116.0203628540039,100.4447250366211
117.35413360595703,100.4476318359375
118.70323944091797,100.45061492919922
120.0678482055664,100.45365905761719
121.44815063476562,100.45677947998047
122.84432220458984,100.45996856689453
124.25653839111328,100.4632339477539
125.68498992919922,100.4665756225586
127.12986755371094,100.4699935913086
128.5913543701172,100.4734878540039
130.06964111328125,100.4770736694336
131.56491088867188,100.48072814941406
133.077392578125,100.4844741821289
134.6072540283203,100.48831176757812
136.15469360351562,100.49223327636719
137.7199249267578,100.49624633789062
139.30316162109375,100.50035095214844
140.9045867919922,100.50455474853516
142.52442932128906,100.50885009765625
144.1628875732422,100.51325225830078
145.82017517089844,100.51775360107422
147.4965362548828,100.5223617553711
149.19215393066406,100.52706909179688
150.9072723388672,100.53189086914062
152.64208984375,100.53682708740234
154.39686584472656,100.54187774658203
156.17181396484375,100.54704284667969
157.9671630859375,100.55232238769531
159.7831573486328,100.55773162841797
161.62002563476562,100.56327056884766
163.47801208496094,100.56893157958984
165.35736083984375,100.57472229003906
167.25830078125,100.58065032958984
169.1811065673828,100.58671569824219
171.12600708007812,100.59292602539062
173.09327697753906,100.59927368164062
175.08316040039062,100.60577392578125
177.09591674804688,100.6124267578125
179.13180541992188,100.61923217773438
181.1911163330078,100.6261978149414
183.27407836914062,100.6333236694336
185.38099670410156,100.64060974121094
187.51214599609375,100.6480712890625
189.66778564453125,100.65570831298828
191.84820556640625,100.66351318359375
194.05369567871094,100.6715087890625
196.28453063964844,100.6796875
198.541015625,100.68805694580078
200.82345581054688,100.69662475585938
203.13211059570312,100.70539093017578
205.4673309326172,100.71435546875
207.82937622070312,100.7235336303711
210.2185821533203,100.73292541503906
212.63525390625,100.74253845214844
215.0797119140625,100.75237274169922
217.55227661132812,100.76243591308594
220.05325317382812,100.7727279663086
222.58297729492188,100.78327178955078
225.1417999267578,100.79405212402344
227.7300262451172,100.80509185791016
230.34800720214844,100.8163833618164
232.99609375,100.82794189453125
235.67462158203125,100.83976745605469
238.38394165039062,100.85186767578125
241.12440490722656,100.86425018310547
243.8963623046875,100.8769302368164
246.7001953125,100.88990020751953
249.53627014160156,100.90316772460938
252.40493774414062,100.91675567626953
255.30657958984375,100.93065643310547
258.2415771484375,100.94488525390625
261.2103271484375,100.95944213867188
264.21319580078125,100.9743423461914
267.2506103515625,100.98959350585938
270.3229064941406,101.00520324707031
273.4305419921875,101.02117156982422
276.57391357421875,101.03752136230469
279.7533874511719,101.05424499511719
282.9694519042969,101.07136535644531
286.22247314453125,101.0888900756836
289.51287841796875,101.10682678222656
292.84112548828125,101.12518310546875
296.2076110839844,101.14396667480469
299.6128234863281,101.16319274902344
303.05718994140625,101.18286895751953
306.5411376953125,101.20301055908203
310.06512451171875,101.22362518310547
313.629638671875,101.24472045898438
317.235107421875,101.26631927490234
320.8820495605469,101.28842163085938
324.5709228515625,101.31105041503906
328.30218505859375,101.3342056274414
332.07635498046875,101.35791015625
335.8938903808594,101.38216400146484
339.7553405761719,101.40699768066406
343.6611633300781,101.43241882324219
347.61187744140625,101.45844268798828
351.6080322265625,101.48507690429688
355.6501159667969,101.51233673095703
359.7386779785156,101.54024505615234
363.8742370605469,101.56881713867188
368.0573425292969,101.59806060791016
372.28851318359375,101.62799072265625
376.568359375,101.65863800048828
380.8973693847656,101.69001007080078
385.27618408203125,101.72212982177734
389.705322265625,101.7550048828125
394.18536376953125,101.78866577148438
398.7169189453125,101.82312774658203
403.3005676269531,101.85840606689453
407.9369201660156,101.89452362060547
412.6265563964844,101.9314956665039
417.3701171875,101.9693603515625
422.168212890625,102.00811767578125
427.0214538574219,102.04780578613281
431.9305114746094,102.08843231201172
436.8959655761719,102.13004302978516
441.91851806640625,102.17263793945312
446.9988098144531,102.21625518798828
452.13751220703125,102.26091766357422
457.3352966308594,102.30664825439453
462.59283447265625,102.35347747802734
467.9107971191406,102.40142822265625
473.2898864746094,102.4505386352539
478.7308349609375,102.50082397460938
484.2343444824219,102.55231475830078
489.80108642578125,102.60505676269531
495.4318542480469,102.65906524658203
501.1273193359375,102.7143783569336
506.8883056640625,102.77102661132812
512.7154541015625,102.82904052734375
518.6096801757812,102.88846588134766
524.5715942382812,102.94932556152344
530.60205078125,103.01166534423828
536.701904296875,103.07551574707031
542.871826171875,103.14092254638672
549.1126708984375,103.20792388916016
555.4252319335938,103.27655792236328
561.8104248046875,103.34686279296875
568.2689819335938,103.41888427734375
574.8018188476562,103.49266815185547
581.4097290039062,103.5682601928711
588.0936279296875,103.64570617675781
594.8543701171875,103.72505950927734
601.6928100585938,103.80635833740234
608.60986328125,103.88965606689453
615.6064453125,103.97501373291016
622.6834716796875,104.06248474121094
629.8418579101562,104.15210723876953
637.08251953125,104.24395751953125
644.4064331054688,104.33808898925781
651.8145141601562,104.43455505371094
659.3077392578125,104.53343200683594
666.8871459960938,104.634765625
674.5537109375,104.73863220214844
682.308349609375,104.84510040283203
690.1522216796875,104.95423889160156
698.086181640625,105.06611633300781
706.1113891601562,105.18081665039062
714.2288208007812,105.29840087890625
722.4396362304688,105.41896057128906
730.7448120117188,105.54256439208984
739.1454467773438,105.6693115234375
747.6426391601562,105.79927825927734
756.237548828125,105.93256378173828
764.9312744140625,106.06924438476562
773.7249145507812,106.20942687988281
782.6196899414062,106.35320281982422
791.6166381835938,106.50067901611328
800.7171020507812,106.65196228027344
809.922119140625,106.80714416503906
819.2329711914062,106.96635437011719
828.65087890625,107.12969207763672
838.1770629882812,107.29729461669922
847.812744140625,107.46926879882812
857.5592041015625,107.64574432373047
867.417724609375,107.82685852050781
877.3895874023438,108.01274108886719
887.4760131835938,108.20352935791016
897.678466796875,108.39938354492188
907.9981689453125,108.60043334960938
918.4365234375,108.80685424804688
928.994873046875,109.01879119873047
939.6746215820312,109.23641967773438
950.4771118164062,109.45990753173828
961.40380859375,109.68943786621094
972.4561157226562,109.9251937866211
983.6354370117188,110.16736602783203
994.9432983398438,110.41615295410156
1006.3811645507812,110.67176818847656
1017.9505615234375,110.9344253540039
1029.6529541015625,111.20433807373047
1041.4898681640625,111.48174285888672
1053.4627685546875,111.76688385009766
1065.5733642578125,112.06000518798828
1077.8232421875,112.36136627197266
1090.2138671875,112.6712417602539
1102.7469482421875,112.98990631103516
1115.4241943359375,113.3176498413086
1128.2470703125,113.65478515625
1141.2174072265625,114.00161743164062
1154.3369140625,114.35848236083984
1167.6070556640625,114.72572326660156
